Date,Calories
2018-04-19,2539
2018-04-20,2086
2018-04-21,1788
2018-04-22,1508
2018-04-23,2301
2018-04-24,2099
2018-04-25,2202
2018-04-26,2467
2018-04-27,1916
2018-04-28,1877
2018-04-29,1921
2018-04-30,2069
2018-05-01,2119
2018-05-02,2201
2018-05-03,2087
2018-05-04,2033
2018-05-05,2223
2018-05-06,1888
2018-05-07,1941
2018-05-08,2207
2018-05-09,1511
2018-05-10,1512
2018-05-11,2083
2018-05-12,1551
2018-05-13,1512
2018-05-14,1549
2018-05-15,1512
2018-05-16,1513
2018-05-17,1801
2018-05-18,1512
2018-05-19,1512
2018-05-20,1512
2018-05-21,1512
2018-05-22,1512
2018-05-23,1512
2018-05-24,1512
2018-05-25,1512
2018-05-26,1512
2018-05-27,1512
2018-05-28,1512
2018-05-29,1512
2018-05-30,1512
2018-05-31,1556
2018-06-01,1879
2018-06-02,1901
2018-06-03,1881
2018-06-04,2187
2018-06-05,1809
2018-06-06,2230
2018-06-07,1517
2018-06-08,1512
2018-06-09,1945
2018-06-10,1771
2018-06-11,2008
2018-06-12,1981
2018-06-13,2088
2018-06-14,1944
2018-06-15,2112
2018-06-16,2065
2018-06-17,1856
2018-06-18,2440
2018-06-19,1909
2018-06-20,2258
2018-06-21,2203
2018-06-22,1949
2018-06-23,2043
2018-06-24,1834
2018-06-25,2089
2018-06-26,2346
2018-06-27,2160
2018-06-28,2156
2018-06-29,2182
2018-06-30,1668
2018-07-01,1695
2018-07-02,2018
2018-07-03,2346
2018-07-04,2218
2018-07-05,2260
2018-07-06,2232
2018-07-07,1657
2018-07-08,1593
2018-07-09,2324
2018-07-10,2003
2018-07-11,2172
2018-07-12,2174
2018-07-13,2331
2018-07-14,1711
2018-07-15,1722
2018-07-16,1678
2018-07-17,1749
2018-07-18,1614
2018-07-19,1614
2018-07-20,2303
2018-07-21,1494
2018-07-22,1651
2018-07-23,2004
2018-07-24,1919
2018-07-25,1943
2018-07-26,1897
2018-07-27,2068
2018-07-28,1883
2018-07-29,1646
2018-07-30,2288
2018-07-31,2498
2018-08-01,2355
2018-08-02,2114
2018-08-03,2449
2018-08-04,1795
2018-08-05,1548
2018-08-06,2264
2018-08-07,2052
2018-08-08,2212
2018-08-09,2143
2018-08-10,2426
2018-08-11,2180
2018-08-12,1725
2018-08-13,1901
2018-08-14,1962
2018-08-15,2142
2018-08-16,2208
2018-08-17,2442
2018-08-18,1877
2018-08-19,1573
2018-08-20,1772
2018-08-21,1865
2018-08-22,2268
2018-08-23,2179
2018-08-24,2257
2018-08-25,1981
2018-08-26,2365
2018-08-27,1742
2018-08-28,2453
2018-08-29,2485
2018-08-30,2204
2018-08-31,1975
2018-09-01,1636
2018-09-02,2024
2018-09-03,2132
2018-09-04,2118
2018-09-05,2042
2018-09-06,2148
2018-09-07,2193
2018-09-08,2013
2018-09-09,1636
2018-09-10,2361
2018-09-11,2710
2018-09-12,2108
2018-09-13,2535
2018-09-14,2117
2018-09-15,1551
2018-09-16,1903
2018-09-17,2364
2018-09-18,2332
2018-09-19,2167
2018-09-20,2186
2018-09-21,1924
2018-09-22,1786
2018-09-23,1899
2018-09-24,2386
2018-09-25,2310
2018-09-26,2076
2018-09-27,2027
2018-09-28,1691
2018-09-29,1908
2018-09-30,1678
2018-10-01,2088
2018-10-02,2246
2018-10-03,2077
2018-10-04,1824
2018-10-05,1859
2018-10-06,1866
2018-10-07,1519
2018-10-08,1910
2018-10-09,2188
2018-10-10,2097
2018-10-11,1960
2018-10-12,2394
2018-10-13,1970
2018-10-14,1993
2018-10-15,2300
2018-10-16,2127
2018-10-17,2014
2018-10-18,2234
2018-10-19,2192
2018-10-20,1805
2018-10-21,1488
2018-10-22,2197
2018-10-23,2194
2018-10-24,1960
2018-10-25,1862
2018-10-26,1995
2018-10-27,1681
2018-10-28,1692
2018-10-29,2348
2018-10-30,2101
2018-10-31,2274
